"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Travel Itinerary Builder","Authentication APIs","","1","0","10","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC106 - Revoke Trip Invite","1","0","0","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC110 - Get trips with high page number","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs 2","TC115 - Validate invalid trip creation scenarios","2","0","2","0","0"
"Travel Itinerary Builder","Trip Management APIs 2","TC113 - Create trip successfully","0","0","1","0","0"
"Travel Itinerary Builder","Trip Invite API","TC203 - Reject Trip Invite","0","0","1","0","0"
"Travel Itinerary Builder","Trip Invite API","TC202 - Accept Trip Invite","1","0","0","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC107 - Delete already deleted or invalid Trip","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC105 - Add Trip Mates","1","0","0","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC109 - Invalid trip ID format","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC102 - Update Trip","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC112 - Revoke invite for non-existing trip mate","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC101 - Get Trip by ID","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC108 - Fail to get trip without token","0","0","1","0","0"
"Travel Itinerary Builder","Authentication APIs","TC005 - Logout the current user","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs 2","TC114 - Get All Trips","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC111 - Add same trip mate twice","1","0","0","0","0"
"Travel Itinerary Builder","Authentication APIs","TC006 - Logout without token","0","0","1","0","0"
"Travel Itinerary Builder","Trip Invite API","TC201 - Preview Trip Invite","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC103 - Delete Trip","0","0","1","0","0"
"Travel Itinerary Builder","Trip Management APIs","TC104 - Get Trip Invite Link","0","0","1","0","0"
